C	CHEMISTRY; METALLURGY
C03C0003000000	Glass compositions (glass batch compositions C03C0006000000)
C03C0003040000	containing silica
C03C0003060000	with more than 90% silica by weight, e.g. quartz
C03C0003062000	with less than 40% silica by weight
C03C0003064000	containing boron
C03C0003066000	containing zinc
C03C0003068000	containing rare earths
C03C0003070000	containing lead
C03C0003072000	containing boron
C03C0003074000	containing zinc
C03C0003076000	with 40% to 90% silica by weight
C03C0003078000	containing an oxide of a divalent metal, e.g. an oxide of zinc
C03C0003083000	containing aluminium oxide or an iron compound
C03C0003085000	containing an oxide of a divalent metal
C03C0003087000	containing calcium oxide, e.g. common sheet or container glass
C03C0003089000	containing boron
C03C0003091000	containing aluminium
C03C0003093000	containing zinc or zirconium
C03C0003095000	containing rare earths
C03C0003097000	containing phosphorus, niobium or tantalum
C03C0003102000	containing lead
C03C0003105000	containing aluminium
C03C0003108000	containing boron
C03C0003110000	containing halogen or nitrogen
C03C0003112000	containing fluorine
C03C0003115000	containing boron
C03C0003118000	containing aluminium
C03C0003120000	Silica-free oxide glass compositions
C03C0003140000	containing boron
C03C0003145000	containing aluminium or beryllium
C03C0003150000	containing rare earths
C03C0003155000	containing zirconium, titanium, tantalum or niobium
C03C0003160000	containing phosphorus
C03C0003170000	containing aluminium or beryllium
C03C0003190000	containing boron
C03C0003210000	containing titanium, zirconium, vanadium, tungsten or molybdenum
C03C0003230000	containing halogen and at least one oxide, e.g. oxide of boron
C03C0003247000	containing fluorine and phosphorus
C03C0003253000	containing germanium
C03C0003320000	Non-oxide glass compositions, e.g. binary or ternary halides, sulfides, or nitrides of germanium, selenium or tellurium
C03C0004000000	Compositions for glass with special properties
C03C0004020000	for coloured glass
C03C0004040000	for photosensitive glass
C03C0004060000	for phototropic or photochromic glass
C03C0004080000	for glass selectively absorbing radiation of specified wave lengths
C03C0004100000	for infra-red transmitting glass
C03C0004120000	for luminescent glass; for fluorescent glass
C03C0004140000	for electro-conductive glass
C03C0004160000	for dielectric glass
C03C0004180000	for ion-sensitive glass
C03C0004200000	for chemical resistant glass
C03C0006000000	Glass batch compositions (single ingredients of batch compositions C03C0001000000)
C03C0006020000	containing silicates, e.g. cullet
C03C0006040000	containing uncombined silica, e.g. sand
C03C0006060000	containing halogen compounds
C03C0006080000	containing pellets or agglomerates
C03C0006100000	containing slag
C03C0008000000	Enamels; Glazes (cold glazes for ceramics C04B0041860000); Fusion seal compositions being frit compositions having non-frit additions
C03C0008020000	Frit compositions, i.e. in a powdered or comminuted form
C03C0008040000	containing zinc
C03C0008060000	containing halogen
C03C0008080000	containing phosphorus
C03C0008100000	containing lead
C03C0008120000	containing titanium or zirconium
C03C0008140000	Glass frit mixtures having non-frit additions, e.g. opacifiers, colorants, mill additions
C03C0008160000	with vehicle or suspending agents, e.g. slip
C03C0008180000	containing free metals
C03C0008200000	containing titanium compounds; containing zirconium compounds
C03C0008220000	containing two or more distinct frits having different compositions
C03C0008240000	Fusion seal compositions being frit compositions having non-frit additions, i.e. for use as seals between dissimilar materials, e.g. glass and metal; Glass solders
C03C0010000000	Devitrified glass ceramics, i.e. glass ceramics having a crystalline phase dispersed in a glassy phase and constituting at least 50% by weight of the total composition
C03C0010020000	Non-silica and non-silicate crystalline phase, e.g. spinel, barium titanate
C03C0010040000	Silicate or polysilicate crystalline phase, e.g. mullite, diopside, sphene, plagioclase
C03C0010060000	Divalent metal oxide aluminosilicate crystalline phase, e.g. anorthite, slagcerams
C03C0010080000	Magnesium aluminosilicate, e.g. cordierite
C03C0010100000	Alkali metal aluminosilicate crystalline phase
C03C0010120000	Lithium aluminosilicate, e.g. spodumene, eucryptite
C03C0010140000	Silica crystalline phase, e.g. stuffed quartz, cristobalite
C03C0010160000	Halogen-containing crystalline phase
C03C0011000000	Multi-cellular glass
C03C0012000000	Powdered glass (C03C0008020000 takes precedence); Bead compositions
C03C0012020000	Reflective beads
C03C0013000000	Fibre or filament compositions (manufacture of fibres or filaments C03B0037000000)
C03C0013020000	containing compounds of titanium or zirconium
C03C0013040000	Fibre optics, e.g. core and clad fibre compositions
C03C0013060000	Mineral fibres, e.g. slag wool, mineral wool, rock wool
C03C0014000000	Glass compositions containing a non-glass component, e.g. compositions containing fibres, filaments, whiskers, platelets, or the like, dispersed in a glass matrix (glass batch compositions C03C0006000000;devitrified glass-ceramics C03C0010000000)
C03C0015000000	Surface treatment of glass; Surface treatment of fibres or filaments from glass, minerals or slags
C03C0015000000	Surface treatment of glass, not in the form of fibres or filaments, by etching
C03C0015020000	for making a smooth surface
C03C0017000000	Surface treatment of glass, e.g. of devitrified glass, not in the form of fibres or filaments, by coating
C03C0017020000	with glass (C03C0017340000, C03C0017440000 take precedence)
C03C0017040000	by fritting glass powder
C03C0017060000	with metals (C03C0017340000, C03C0017440000 take precedence)
C03C0017090000	by deposition from the vapour phase
C03C0017100000	by deposition from the liquid phase
C03C0017220000	with other inorganic material (C03C0017340000, C03C0017440000 take precedence)
C03C0017230000	Oxides (C03C0017020000 takes precedence)
C03C0017245000	by deposition from the vapour phase
C03C0017250000	by deposition from the liquid phase
C03C0017270000	by oxidation of a coating previously applied
C03C0017280000	with organic material (C03C0017340000, C03C0017440000 take precedence)
C03C0017300000	with silicon-containing compounds
C03C0017320000	with synthetic or natural resins (C03C0017300000 takes precedence)
C03C0017340000	with at least two coatings having different compositions (C03C0017440000 takes precedence)
C03C0017360000	at least one coating being a metal
C03C0017380000	at least one coating being a coating of an organic material
C03C0017400000	all coatings being metal coatings
C03C0017420000	at least one coating of an organic material and at least one non-metal coating
C03C0017440000	Lustring
C03C0019000000	Surface treatment of glass, not in the form of fibres or filaments, by mechanical means (sand-blasting, grinding, or polishing glass B24)
C03C0021000000	Treatment of glass, not in the form of fibres or filaments, by diffusing ions or metals into the surface
C03C0023000000	Other surface treatment of glass not in the form of fibres or filaments
C03C0025000000	Surface treatment of fibres or filaments from glass, minerals, or slags
C03C0025100000	by coating
C03C0025120000	General methods for coating; Devices therefor
C03C0025140000	Spraying
C03C0025160000	Dipping
C03C0025180000	using extrusion devices
C03C0025200000	Contacting the fibres with applicators, e.g. rolls
C03C0025220000	Deposition from the vapour phase
C03C0025240000	Coatings containing organic materials
C03C0025260000	Macromolecular compounds or prepolymers
C03C0025280000	obtained by reactions involving only carbon-to-carbon unsaturated bonds, e.g. acrylic resins
C03C0025300000	Polyolefins
C03C0025320000	obtained otherwise than by reactions involving only carbon-to-carbon unsaturated bonds
C03C0025340000	Condensation polymers of aldehydes, e.g. with phenols, ureas, melamines, amides or amines
C03C0025360000	Epoxy resins
C03C0025380000	Organo-metallic compounds
C03C0025400000	Organo-silicon compounds
C03C0025420000	Coatings containing inorganic materials
C03C0025440000	Carbon, e.g. graphite
C03C0025460000	Metals
C03C0025480000	with two or more coatings having different compositions
C03C0025500000	Coatings containing organic materials only
C03C0025520000	Coatings containing inorganic materials only
C03C0025540000	Combinations of one or more coatings containing organic materials only with one or more coatings containing inorganic materials only
C03C0025600000	by diffusing ions or metals into the surface
C03C0025620000	by application of electric or wave energy or particle radiation, or by ion implantation (for drying or dehydration C03C0025640000)
C03C0025640000	Drying; Dehydration; Dehydroxylation
C03C0025660000	Chemical treatment, e.g. leaching, acid or alkali treatment (dehydroxylation C03C0025640000)
C03C0025680000	by etching
C03C0025700000	Cleaning, e.g. for reuse (C03C0025620000-C03C0025660000 take precedence)
C03C0027000000	Joining glass to glass or to other materials
C03C0027000000	Joining pieces of glass to pieces of other inorganic material; Joining glass to glass other than by fusing (C03C0017000000takes precedence;fusion seal compositions C03C0008240000;wired glass C03B;joining glass to ceramics C04)
C03C0027020000	by fusing glass directly to metal
C03C0027040000	Joining glass to metal by means of an interlayer
C03C0027060000	Joining glass to glass by processes other than fusing
C03C0027080000	with the aid of intervening metal
C03C0027100000	with the aid of adhesive specially adapted for that purpose
C03C0027120000	Laminated glass (mechanical features in manufacture of glass laminates part of which is of plastic material B32B)
C03C0029000000	Joining metals with the aid of glass
C04	CEMENTS; CONCRETE; ARTIFICIAL STONE; CERAMICS; REFRACTORIES
C04B	LIME; MAGNESIA; SLAG; CEMENTS; COMPOSITIONS THEREOF, e.g. MORTARS, CONCRETE OR LIKE BUILDING MATERIALS; ARTIFICIAL STONE; CERAMICS (devitrified glass-ceramics C03C0010000000); REFRACTORIES (alloys based on refractory metals C22C); TREATMENT OF NATURAL STONE
C04B0002000000	Lime; Magnesia; Slag
C04B0002000000	Lime, magnesia or dolomite
C04B0002020000	Lime
C04B0002040000	Slaking
C04B0002060000	with addition of substances, e.g. hydrophobic agents
C04B0002080000	Devices therefor
C04B0002100000	Preheating, burning, calcining or cooling (decarbonation during burning of cement raw materials C04B0007430000)
C04B0002120000	in shaft or vertical furnaces
C04B0005000000	Treatment of molten slag (manufacture of slag wool C03B;treatment of slag in or for the production of metals C21B, C22B); Artificial stone from molten slag
C04B0005020000	Granulating (granulating apparatus B01J0002000000); Dehydrating; Drying
C04B0005060000	Ingredients, other than water, added to the molten slag; Treatment with gases or gas generating material, e.g. to obtain porous slag
C04B0007000000	Cements
C04B0007000000	Hydraulic cements
C04B0007020000	Portland cement
C04B0007040000	using raw materials containing gypsum
C04B0007060000	using alkaline raw materials
C04B0007120000	Natural pozzuolanas; Natural pozzuolana cements
C04B0007130000	Mixtures thereof with inorganic cementitious materials, e.g. Portland cements
C04B0007140000	Cements containing slag
C04B0007147000	Metallurgical slag
C04B0007153000	Mixtures thereof with other inorganic cementitious materials or other activators
C04B0007170000	with calcium oxide containing activators
C04B0007190000	Portland cements
C04B0007210000	with calcium sulfate containing activators
C04B0007220000	Iron ore cements
C04B0007240000	Cements from oil shales, residues or waste other than slag
C04B0007260000	from raw materials containing flue dust
C04B0007280000	from combustion residues (C04B0007260000 takes precedence)
C04B0007300000	from oil shale; from oil shale residues
C04B0007320000	Aluminous cements
C04B0007340000	Hydraulic lime cements; Roman cements
C04B0007345000	Hydraulic cements not provided for in one of the groups C04B0007020000-C04B0007340000
