B	PERFORMING OPERATIONS; TRANSPORTING
B05C0009120000	the auxiliary operation being performed after the application (B05C0009140000 takes precedence)
B05C0009140000	the auxiliary operation involving heating
B05C0011000000	Component parts, details or accessories not specifically provided for in groups B05C0001000000-B05C0009000000 (B05C0019000000 takes precedence;means for manipulating or holding work B05C0013000000;enclosures for apparatus, booths B05C0015000000)
B05C0011020000	Apparatus for spreading or distributing liquids or other fluent materials already applied to a surface (B05C0007000000 takes precedence;hand tools for such purposes B05C0017100000); Control of the thickness of a coating
B05C0011040000	with blades
B05C0011060000	with a blast of gas or vapour
B05C0011080000	Spreading liquid or other fluent material by manipulating the work, e.g. tilting
B05C0011100000	Storage, supply or control of liquid or other fluent material; Recovery of excess liquid or other fluent material
B05C0011105000	by capillary action, e.g. using wicks
B05C0011110000	Vats or other containers for liquids or other fluent materials
B05C0011115000	Sealing means for work inlet or outlet
B05C0013000000	Means for manipulating or holding work, e.g. for separate articles
B05C0013020000	for particular articles
B05C0015000000	Enclosures for apparatus; Booths (spray booths B05B0015120000)
B05C0017000000	Hand tools or apparatus using hand-held tools, for applying liquids or other fluent materials to, for spreading applied liquids or other fluent materials on, or for partially removing applied liquids or other fluent materials from, surfaces (brushes A46B)
B05C0017005000	for discharging material through an outlet orifice by pressure (B05C0017020000 takes precedence)
B05C0017010000	with mechanically or electrically actuated piston or the like
B05C0017015000	with pneumatically actuated piston or the like
B05C0017020000	Rollers
B05C0017025000	with self-contained reservoir
B05C0017030000	with feed system for supplying material from an external source
B05C0017035000	direct to the outer surface of the roller
B05C0017040000	Stencil rollers
B05C0017060000	Stencils (B05C0017040000 takes precedence)
B05C0017080000	Stencil holders
B05C0017100000	Hand tools for removing partially or for spreading or redistributing applied liquids or other fluent materials, e.g. colour touchers
B05C0017120000	Other hand tools for producing patterns
B05C0019000000	Apparatus specially adapted for applying particulate materials to surfaces
B05C0019020000	using fluidised-bed technique
B05C0019040000	the particulate material being projected, poured or allowed to flow onto the surface of the work (B05C0019020000 takes precedence)
B05C0019060000	Storage, supply or control of the application of particulate material; Recovery of excess particulate material
B05C0021000000	Accessories or implements for use in connection with applying liquids or other fluent materials to surfaces, not provided for in groups B05C0001000000-B05C0019000000
B05D	PROCESSES FOR APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL (conveying articles or workpieces through baths of liquid B65G, e.g. B65G0049020000)
B05D0001000000	Processes for applying liquids or other fluent materials (B05D0005000000, B05D0007000000 take precedence)
B05D0001020000	performed by spraying
B05D0001040000	involving the use of an electrostatic field
B05D0001060000	Applying particulate materials
B05D0001080000	Flame spraying
B05D0001100000	Applying particulate materials
B05D0001120000	Applying particulate materials (B05D0001060000, B05D0001100000 take precedence)
B05D0001140000	Flocking
B05D0001160000	Flocking otherwise than by spraying
B05D0001180000	performed by dipping
B05D0001200000	substances to be applied floating on a fluid
B05D0001220000	using fluidised-bed technique
B05D0001240000	Applying particulate materials
B05D0001260000	performed by applying the liquid or other fluent material from an outlet device in contact with, or almost in contact with, the surface
B05D0001280000	performed by transfer from the surfaces of elements carrying the liquid or other fluent material, e.g. brushes, pads, rollers
B05D0001300000	performed by gravity only, i.e. flow coating
B05D0001320000	using means for protecting parts of a surface not to be coated, e.g. using stencils, resists
B05D0001340000	Applying different liquids or other fluent materials simultaneously
B05D0001360000	Successively applying liquids or other fluent materials, e.g. without intermediate treatment
B05D0001380000	with intermediate treatment
B05D0001400000	Distributing applied liquids or other fluent materials by members moving relatively to surface
B05D0001420000	by non-rotary members
B05D0003000000	Pretreatment of surfaces to which liquids or other fluent materials are to be applied; After-treatment of applied coatings, e.g. intermediate treating of an applied coating preparatory to subsequent applications of liquids or other fluent materials
B05D0003020000	by baking
B05D0003040000	by exposure to gases
B05D0003060000	by exposure to radiation (B05D0003020000 takes precedence)
B05D0003080000	by flames
B05D0003100000	by other chemical means
B05D0003120000	by mechanical means
B05D0003140000	by electrical means
B05D0005000000	Processes for applying liquids or other fluent materials to surfaces to obtain special surface effects, finishes or structures
B05D0005020000	to obtain a matt or rough surface
B05D0005040000	to obtain a surface receptive to ink or other liquid (B05D0005020000 takes precedence)
B05D0005060000	to obtain multicolour or other optical effects (B05D0005020000 takes precedence)
B05D0005080000	to obtain an anti-friction or anti-adhesive surface
B05D0005100000	to obtain an adhesive surface
B05D0005120000	to obtain a coating with specific electrical properties
B05D0007000000	Processes, other than flocking, specially adapted for applying liquids or other fluent materials to particular surfaces or for applying particular liquids or other fluent materials
B05D0007020000	to macromolecular substances, e.g. rubber
B05D0007040000	to surfaces of films or sheets
B05D0007060000	to wood
B05D0007080000	using synthetic lacquers or varnishes
B05D0007100000	based on cellulose derivatives
B05D0007120000	to leather
B05D0007140000	to metal, e.g. car bodies
B05D0007160000	using synthetic lacquers or varnishes
B05D0007180000	based on cellulose derivatives
B05D0007200000	to wires
B05D0007220000	to internal surfaces, e.g. of tubes
B05D0007240000	for applying particular liquids or other fluent materials
B05D0007260000	synthetic lacquers or varnishes (B05D0007080000, B05D0007160000 take precedence)
B06	GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS IN GENERAL
B06B	GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS IN GENERAL (for particular physical or chemical processes, see the relevant subclasses, e.g. B07B0001400000, B22C0019060000, B23Q0017120000, B24B0031060000, E01C0019220000;measurement of mechanical vibrations, including the combination of generation and measurement, G01H;systems using reflection or reradiation of acoustic waves G01S0015000000;generating seismic energy for prospecting G01V0001020000;control of mechanical vibrations G05D0019000000;methods or devices for transmitting, conducting or directing sound, in general G10K0011000000;synthesis of acoustic waves G10K0015020000;piezo-electric, electrostrictive or magnetostrictive elements H01L0041000000;motors with vibrating magnet, armature or coil H02K0033000000;motors using piezo-electric effect, electrostriction or magnetostriction H02N0002000000;generation of electrical oscillations H03B;electromechanical resonators as resonant circuit elements H03H;loudspeakers, microphones, gramophone pick-ups or like acoustic electromechanical transducers H04R)
B06B0001000000	Processes or apparatus for generating mechanical vibrations of infrasonic, sonic or ultrasonic frequency
B06B0001020000	making use of electrical energy (B06B0001180000, B06B0001200000 take precedence)
B06B0001040000	operating with electromagnetism (dynamo-electric motors with vibrating magnet, armature or coil system H02K0033000000)
B06B0001060000	operating with piezo-electric effect or with electrostriction (piezo-electric or electrostrictive elements in general H01L0041000000)
B06B0001080000	operating with magnetostriction (magnetostrictive elements in general H01L0041000000)
B06B0001100000	making use of mechanical energy (B06B0001180000, B06B0001200000 take precedence)
B06B0001120000	operating with systems involving reciprocating masses
B06B0001140000	the masses being elastically coupled
B06B0001160000	operating with systems involving rotary unbalanced masses
B06B0001180000	wherein the vibrator is actuated by pressure fluid (B06B0001200000 takes precedence)
B06B0001200000	making use of a vibrating fluid
B06B0003000000	Processes or apparatus specially adapted for transmitting mechanical vibrations of infrasonic, sonic or ultrasonic frequency
B06B0003020000	involving a change of amplitude
